Validation paper,CPM,Validation,Development,Implementation
Association of cerebral palsy with Apgar score in low and normal birthweight infants: population based cohort study,APGAR,Complete Case Analysis,Not reported,Model requires all data
Outcome of Term Infants Using Apgar Scores at 10 Multiple Imputationnutes Following Hypoxic-IscheMultiple Imputationc Encephalopathy,APGAR,Complete Case Analysis,Not reported,Model requires all data
Joint association of Apgar scores and early neonatal symptoms with Multiple Imputationnor disabilities at school age,APGAR,Not reported,Not reported,Model requires all data
Utility of the Surgical Apgar Score Validation in 4119 Patients,APGAR,Complete Case Analysis,Not reported,Model requires all data
The Apgar Score and Infant Mortality,APGAR,Complete Case Analysis,Not reported,Model requires all data
Apgar score and the long term risk of epilepsy,APGAR,Not reported,Not reported,Model requires all data
"Evaluation of a risk of malignancy index based on serum CA125, ultrasound findings and menopausal status in the pre?operative diagnosis of pelvic masses",DG-ROMA,Not reported,Complete Case Analysis,Missing values considered normal
"Comparison of a novel multiple marker assay vs the Risk
of Malignancy Index for the prediction of epithelial
ovarian cancer in patients with a pelvic mass",DG-ROMA,Not reported,Complete Case Analysis,Missing values considered normal
The risk-of-malignancy index to evaluate potential ovarian cancers in local hospitals,DG-ROMA,Not reported,Complete Case Analysis,Missing values considered normal
The adnexal mass: benign or malignant? Evaluation of a risk of malignancy index,DG-ROMA,Not reported,Complete Case Analysis,Missing values considered normal
"A comparison of CA125, HE4, risk ovarian malignancy algorithm (ROMA), and risk malignancy index (RMultiple Imputation) for the classification of ovarian masses",DG-ROMA,Complete Case Analysis,Complete Case Analysis,Missing values considered normal
Comparison of Three Risk of Malignancy Indices in Evaluation of Pelvic Masses,DG-ROMA,Complete Case Analysis,Complete Case Analysis,Missing values considered normal
"Risk of Malignancy Index in the preoperative evaluation
of patients with adnexal masses",DG-ROMA,Not reported,Complete Case Analysis,Missing values considered normal
"Subjective assessment by ultrasound is superior to the risk
of malignancy index (RMultiple Imputation) or the risk of ovarian malignancy
algorithm (ROMA) in discriMultiple Imputationnating benign
from malignant adnexal masses",DG-ROMA,Complete Case Analysis,Complete Case Analysis,Missing values considered normal
"Evaluation of the risk of malignancy index in daily clinical management of
adnexal masses",DG-ROMA,Not reported,Complete Case Analysis,Missing values considered normal
Risk of malignancy index in the preoperative evaluation of pelvicmasses,DG-ROMA,Not reported,Complete Case Analysis,Missing values considered normal
Prognostic accuracy of the Hamilton EarlyWarning Score (HEWS) and the NationalEarly Warning Score 2 (NEWS2) amonghospitalized patients assessed by a rapidresponse team,NEWS2,Complete Case Analysis,Not reported,Missing values considered normal
NEWS2 Is Superior to qSOFA in Detecting Sepsiswith Organ Dysfunction in theEmergency Departmen,NEWS2,Multiple Imputation,Not reported,Missing values considered normal
"Evaluation of the feasibility and
performance of early warning scores to
identify patients at risk of adverse
outcomes in a low-Multiple Imputationddle income
country setting",NEWS2,Other Imputation Methods,Not reported,Missing values considered normal
"Evaluation and Improvement of the National Early Warning Score (NEWS2) for
COVID-19: a multi-hospital study",NEWS2,Not reported,Not reported,Missing values considered normal
"The utility of established prognostic scores in COVID-19 hospital adMultiple Imputationssions: a multicentre prospective evaluation of CURB-65, NEWS2, and qSOFA",NEWS2,Not reported,Not reported,Missing values considered normal
"The Value of Prehospital Early Warning Scoresto Predict in - Hospital Clinical Deterioration: A Multicenter, Observational Base-Ambulance Study",NEWS2,Complete Case Analysis,Not reported,Missing values considered normal
